,date_time,city_area,state,country,ufo_shape,encounter_length,described_encounter_length,description,date_documented,latitude,longitude
22205,2002-01-24 14:00:00,del mar,ca,USA,disk,180.0,hour and 1/2,Five silver disks produce five different messages in the sky on a clear bright Sunday afternoon.,3/11/2003,32.9594444,-117.2644444
51322,2010-06-23 03:00:00,ogden,ut,USA,light,120.0,1/2 hour,Light in Utah sky moving erratically.,7/6/2010,41.2230556,-111.9730556
29316,2007-02-04 20:00:00,naperville,il,USA,,7.0,4-5 (?) seconds,Meteorite Sighting Sunday Evening February 4&#44 2007,2/24/2007,41.7858333,-88.1472222
59624,2000-07-25 22:23:00,sturgeon bay,wi,USA,other,300.0,5min,Army Airborne drills over the bay,2/24/2007,44.8341667,-87.3769444
33321,2008-03-24 16:13:00,sedona,az,USA,disk,1.0,less than a second,Photo of UFO taken in Sedona AZ 3-24-08 4:13 pm,10/31/2008,34.8697222,-111.7602778
76917,2005-09-22 19:30:00,poway,ca,USA,circle,240.0,4 minutes,craft spun around then twisted then flew up,10/11/2005,32.9627778,-117.035
71457,2011-08-04 20:45:00,kingman,az,USA,oval,600.0,10 minutes,A UFO that was hovering outside the town of Kingman&#44 Arizona for about 10 minutes total.  ((NUFORC Note:  Other reports.  PD)),8/7/2011,35.1894444,-114.0522222
20805,2013-12-26 22:15:00,boynton beach,fl,USA,circle,90.0,90 seconds,While walking Westbound I saw a large bright orange round object at roof top level moving upward at about a 60&#176; angel in a south by sou,1/10/2014,26.525,-80.0666667
15898,1995-01-18 19:30:00,deer lodge,mt,USA,,3600.0,1 hour,Anonymous call regarding alleged multiple UFO sighting reports between Fairfield and Deer Lodge for 1 hour.,11/2/1999,46.3958333,-112.7291667
78160,2002-09-28 19:00:00,fowler,in,USA,triangle,30.0,30 seconds,Elongated pyramid-shaped ufo seen flying in the country.,10/15/2002,40.6166667,-87.3208333
6808,2012-10-06 21:40:00,brockville (near) (canada),on,Canada,triangle,10.0,10 seconds,Ontario country road October 2012&#44 large spotlight over home&#44 and triangular object with green &amp; white lights across road over treeline,10/30/2012,44.583333,-75.683333
7313,2009-10-09 20:30:00,aspermont,tx,USA,light,900.0,15 minutes,Unexplained lights over West Texas,12/12/2009,33.1333333,-100.2269444
70778,2013-08-30 21:30:00,north myrtle beach/loris,sc,Other,changing,3600.0,>1 hour,Red&#44 white and blue flashing orb. Looked like a large star. Looked like it was changing shape&#44 getting larger and smaller. Was hovering,9/9/2013,33.941838,-78.833079
3849,2005-10-22 22:20:00,bassevelde (belgium),,Other,circle,3600.0,1 hour,Lightshow above our home,3/19/2009,51.230556,3.6775
41662,2003-05-01 12:00:00,quartzsite,az,USA,sphere,300.0,.5 hour,Grey basketball tracking me from the front&#33,4/3/2011,33.6638889,-114.2291667
72043,2000-08-07 12:45:00,molalla,or,USA,disk,60.0,1+min.,observed a disc shaped object hovering above me&#44 which accelerated to the East at a highe rate of speed covering 140 degrees in 3 secon,8/19/2000,45.1475,-122.5758333
21654,2011-12-31 23:00:00,broken hill,,Other,oval,60.0,60 seconds,Bright orange light moving horizontally across the sky.,1/12/2012,-31.955858,141.465136
454,2013-10-11 03:00:00,hamilton (canada),on,Canada,cylinder,3600.0,0300:0400,Enlarged still frame pics of the video show strage shapes and strange colors.,10/23/2013,43.25,-79.833333
74433,2011-09-14 19:30:00,henderson,nv,USA,fireball,5.0,5 seconds,Fireball with a long tail,10/10/2011,36.0397222,-114.9811111
35378,2008-03-08 22:30:00,vallejo,ca,USA,other,5.0,less than 5 sec,Driving down hill a semi main street&#44 boy friend and I were going home and we both happened to see what seemed like a bright green orb,3/31/2008,38.1041667,-122.2555556
11147,2009-01-01 01:15:00,bethel,ak,USA,other,900.0,15 minutes,Possible Bethel UFO sighting,1/10/2009,60.7922222,-161.7558333
22499,1998-12-05 19:00:00,valle de bravo (mexico),,Other,light,120.0,2 minutes,White bright light like a headlight with a cloudy proyection though heaven was clear. It suddenly disspareared leaving just the bright,1/28/1999,19.195096,-100.132673
76729,2010-09-02 22:30:00,st. andrews (canada),nb,Canada,changing,180.0,2-3 min,Bright orange object enters atmosphere&#44 flies south&#44 stops&#44 than fades to nothing,11/21/2010,47.783333,-59.233333
65729,2007-08-13 23:00:00,nassau county,ny,USA,unknown,3600.0,1 hour,LONG ISLAND NY UFO,8/14/2007,42.5158333,-73.6105556
54186,2012-06-07 20:00:00,irbid (jordan),,Other,unknown,60.0,1 minute,Strange object that exploded in Northern Jordan skies,6/14/2012,32.545442,35.857153
64758,1962-08-01 12:00:00,charleston,sc,USA,disk,300.0,5 min,Flying disk near Air Base in Charleston SC around 1962 summer,10/30/2006,32.7763889,-79.9311111
29549,1997-02-06 16:45:00,mesa,az,USA,triangle,4.0,3-4 seconds,In Mesa&#44 AZ&#44 I clearly saw a large triangular ship&#44 flying slowly---it turned / flew away at terrific speed.,3/31/2008,33.4222222,-111.8219444
41455,2012-05-11 20:20:00,knoxville,tn,USA,formation,300.0,5 minutes,Orange lights in triangular formation.,5/13/2012,35.9605556,-83.9208333
135,2004-10-10 15:00:00,rock island,il,USA,sphere,3600.0,1 hour,The sky was clear  and the objects at times appeared to rotate slowly.,10/27/2004,41.5094444,-90.5786111
44322,2010-05-25 14:00:00,las vegas,nv,USA,oval,300.0,5 minutes,Las Vegas Nevada. White orb in the sky spotted at 2:00PM&#44 Orb then disappeared and re-appeared several times over a period of about 5 m,6/3/2010,36.175,-115.1363889
67120,1982-08-17 19:00:00,vacaville,ca,USA,fireball,480.0,8 minutes,Fireballs seen in Vacaville&#44 CA.,12/20/2012,38.3566667,-121.9866667
58383,2007-07-20 04:00:00,follansbee,wv,USA,triangle,300.0,5 minutes,Black triangle shape with 2 bright white lights and 4 deep red lights. Back curved inward. no markings no sound. hovered above treeline,8/7/2007,40.3275,-80.5961111
1814,1982-10-15 14:00:00,van nuys,ca,USA,disk,1200.0,20 min,The space craft was flying at a 45 degree angle&#44 approximatly a mile high&#44 running parallel to Van Nuy Blvd on a clear day.,6/23/1999,34.1866667,-118.4480556
35677,2004-04-10 12:30:00,battleground,wa,Other,sphere,120.0,2 minutes,There was a shiny silver spherical object in the sky that made a rolling turn and disappeared.,5/4/2004,45.625406,-122.584426
58462,2012-07-20 14:45:00,orleans,ca,USA,other,14400.0,4 hours +,Multiple wittness of multiple bright fuselage objects close and moving slow and low.,8/5/2012,41.3016667,-123.54
40767,2012-04-07 21:28:00,asheville,nc,USA,fireball,300.0,5:00,Three orange dots rising from horizon and dying out one by one,5/13/2012,35.6008333,-82.5541667
74182,2007-09-13 21:15:00,chillicothe,oh,USA,fireball,30.0,30 seconds,5-7 large orange spheres.,10/8/2007,39.3330556,-82.9825
21896,2002-12-03 18:22:00,jersey city,nj,USA,sphere,5.0,5 seconds,Single white orb appeared out of nowhere&#44 hovering for a moment before shooting out of sight.,12/23/2002,40.7280556,-74.0780556
13636,2002-11-29 22:00:00,mount wolf,pa,USA,light,1800.0,30 minutes,I witnessed 3 disk shaped lights flying through the sky for 10 minutes&#44 when a 4th appeared they began to fly in a predetermined patter,12/23/2002,40.0630556,-76.7041667
74089,2000-09-13 21:00:00,williamsville,ny,USA,light,10800.0,3 hrs.,Repeat sighting of 9/6/00&#44 with 3 stationary&#44 star-like objects in a triangle formation constantly blinking red&#44 green and white lights,9/17/2000,42.9638889,-78.7380556
10280,2012-11-17 00:37:00,hagerstown,md,USA,light,2.0,2 seconds,Very illuminous light moving very fast blinked twice then gone.,11/19/2012,39.6416667,-77.7202778
7407,1947-01-10 20:00:00,conroe,tx,USA,other,4.0,3 to4 sec.,The date was early 1947 before Arnold&#39s &quot;flying saucers&quot;.  I was ten years old&#44 ridding in the front seat of our car next to the passan,4/16/2005,30.3116667,-95.4558333
6199,2012-10-03 23:00:00,beachwood,nj,USA,fireball,60.0,1 minute,red fire looking orb that was very fast and had control over where it moved,10/30/2012,39.9388889,-74.1933333
49666,1985-06-17 02:00:00,joshua tree national park&#44 twenty nine palms,ca,Other,formation,600.0,10 minutes,Saw 3 saucer-shaped items traveling in formation&#44 3 stationary lights on each. Traveling at 2:00 AM over Joshua Tree National Park,6/12/2008,33.873415,-115.900992
71366,2005-08-04 10:00:00,vienna,mo,USA,unknown,14400.0,4 hours,MISSOURI INVESTIGATORS GROUP Report:  I looked up in the sky and saw this bright shiny object.,10/11/2005,38.1866667,-91.9469444
3625,2001-10-02 19:39:00,howell,mi,USA,fireball,3.0,3 seconds,At 7:39 pm Tuesday&#44 October 2&#44 I was driving east on Clyde Rd.&#44 which is a dirt road 4 miles north of Howell&#44 MI.  I was 1 mile west of,10/12/2001,42.6072222,-83.9294444
63642,2012-07-07 22:08:00,saint peters,mo,USA,triangle,60.0,one minute,Three bright orange orbs spotted moving west to east quickly across the sky horizontally then disappeared quickly up into the clouds,8/5/2012,38.8002778,-90.6263889
70748,2012-08-30 21:15:00,desert center,ca,USA,fireball,2100.0,35 minutes,My father and I were driving on I-10 East and seen a large fireball like object with many smaller ones trailing it. Shortly after we se,9/24/2012,33.7125,-115.4013889
43834,2004-05-22 01:45:00,sonora,ca,USA,unknown,120.0,2 minutes,HBCCUFO CANADIAN REPORT:  I watched&#44 the other &quot;star&quot; began to drop as well.,6/4/2004,37.9841667,-120.3811111
67563,2012-08-18 21:30:00,omaha,ne,USA,light,300.0,5 minutes,Unidentified orange lights observed over West  Omaha.,9/24/2012,41.2586111,-95.9375
15812,2012-11-07 17:30:00,bay lake,fl,USA,light,240.0,4 minutes,Three brightly glowing objects above sun during sunset + Fireball 2 hours later.,11/19/2012,28.4772222,-81.9061111
71640,2006-08-05 17:47:00,waterloo,ia,USA,cigar,600.0,5-10mins,Bright White/Sliver Cigar Shaped Craft sighted  Iowa,10/30/2006,42.4927778,-92.3427778
10984,2003-01-01 00:01:00,burbank,ca,USA,fireball,240.0,4 minutes,New Year&#39s Eve Two Fireballs Move SLOW across sky in CA,3/11/2003,34.1808333,-118.3080556
59715,2008-07-25 21:45:00,phoenix,az,USA,light,30.0,30sec or less,Phoenix light sighting by indian resevation,8/12/2008,33.4483333,-112.0733333
78794,2011-09-30 20:00:00,new berlin,wi,USA,triangle,300.0,5 minutes,Red &amp; white lights in shape of a triange in the sky,10/25/2011,42.9763889,-88.1083333
27423,2013-02-19 00:30:00,monterey,ca,USA,cylinder,8.0,8 seconds,Cylinder shape,7/5/2013,36.6002778,-121.8936111
30719,2008-03-01 21:00:00,jefferson city,mo,USA,triangle,20.0,5 to 20 seconds,I got home and was walking up the driveway to go in the front door of the house and I looked up and saw a pretty big triangle flying w,3/4/2008,38.5766667,-92.1733333
14202,2012-11-03 08:03:00,omaha,ne,USA,light,240.0,4 minutes,Two mysterious red lights hoovering across the providence. lasted about 4 minutes.,11/4/2012,41.2586111,-95.9375
12207,2013-01-12 19:00:00,clayton,ga,USA,oval,300.0,5 minutes,At roughly 1700 hours my brother and best friend were leaving the house and noticed a cluster of lights in the sky behind the house.  I,1/16/2014,34.8780556,-83.4011111
40929,2013-04-08 20:32:00,columbia,tn,USA,other,120.0,2 minutes,Bright round object&#44 moving different directions&#44 speeds and altitudes at amazing speed.,4/12/2013,35.615,-87.0352778
32314,2001-03-19 19:10:00,east dover,vt,USA,light,45.0,45 seconds,small green light&#44 high altitude&#44 changing direction.,6/12/2002,42.9511111,-72.7694444
60503,2013-07-28 02:00:00,williamsburg,oh,USA,light,10.0,10 seconds,My friend and I were having a bonfire just hanging out (no alcohol was present) and we were just about to clean up and go inside. It&#39s,8/30/2013,39.0541667,-84.0530556
14296,2014-01-13 18:00:00,willow springs,nc,USA,chevron,600.0,10 minutes,3 objects in formation looking stationary with no noise.  At first looked like three bright lights.  Then they appeared in a chevron sh,1/16/2014,35.5955556,-78.7316667
53415,2013-06-03 21:02:00,bakersfield,ca,USA,cigar,240.0,4 minutes,Looked like mars&#44 but brighter&#44 vertically. Moving unnaturally&#44 undirectionally through the sky at a controlled speed,7/3/2013,35.3733333,-119.0177778
23272,2008-01-27 18:00:00,san diego,ca,USA,flash,10.0,10 seconds,Bluish white and incredibly fast object witnessed over San Diego between cloud cover.,2/14/2008,32.7152778,-117.1563889
15561,2000-01-17 21:40:00,orland,ca,USA,triangle,600.0,10 minutes,Small triangular object flying low to ground flashing green then gold light.,6/12/2007,39.7475,-122.1952778
17973,2010-12-13 22:00:00,salaya (thailand),,Other,light,600.0,10 minutes,Dancing multi-colored UFO videotaped for 5 minutes by married couple in Salaya&#44 Thailand.,1/5/2011,22.308085,69.600603
48699,1969-06-15 23:50:00,fairfax,va,USA,oval,60.0,1 minute,Huge blimp-like craft; lights around the middle of craft; no sound; hovering above the highway.,11/2/1999,38.8461111,-77.3066667
22071,2011-12-03 17:45:00,hays,nc,USA,light,60.0,1 minute,I saw this on 12/03/11 at right around 6:45 pm on Airport Rd. in Hays&#44 NC. I was driving and the light caught my eye I thought it was a,12/12/2011,36.2497222,-81.1158333
79423,2010-09-05 22:00:00,thornville,oh,USA,formation,180.0,2-3 minutes,10-12 hoovering balls of light,1/31/2011,39.8963889,-82.4202778
9792,1999-11-16 19:00:00,hadley,mi,USA,fireball,30.0,30 seconds,I don&#39t know if I&#39d call it a CRAFT&#44 but I saw 5 or 6 extremely bright white balls of light clustered together&#44 with red/orange/purple-,11/23/1999,42.9544444,-83.4033333
20050,2008-12-23 09:00:00,san jose,ca,USA,sphere,30.0,30 seconds,San Jose&#44 CA. Fourth Floor of Valley Fair Mall where the food court doors are.,3/19/2009,37.3394444,-121.8938889
74437,2011-09-14 19:45:00,henderson,nv,USA,unknown,30.0,30 seconds,Saw the light in Las Vegas before it turned green and yellow,10/10/2011,36.0397222,-114.9811111
41486,2013-05-11 23:00:00,denver,co,USA,circle,180.0,3 minutes,Silent and Fast-Moving Orange Orb Over Denver,6/2/2013,39.7391667,-104.9841667
1137,2010-10-12 16:00:00,hillsdale,mi,USA,circle,120.0,1-2 minutes,Hovering/moving white or metallic ball in the sky,11/21/2010,41.92,-84.6305556
69082,2009-08-23 01:00:00,spanish fort,al,USA,light,3600.0,1 hour,Four  balls of light spotted over Spanish Fort area.,8/27/2009,30.6747222,-87.9152778
28707,2011-02-26 07:15:00,florida keys,,Other,circle,30.0,30 seconds,Dark circle type disc captured on film and not seen until photo was downloaded,3/10/2011,24.555736,-81.782654
51914,2004-06-26 22:45:00,granville summit,pa,USA,light,5.0,5 seconds,Three silent orange streaks&#44 two in front&#44 one behind traveling at a high rate of speed in the same path.,7/8/2004,41.7177778,-76.7794444
1927,1997-10-15 01:00:00,paris,tn,USA,light,600.0,10 minutes,blue ball of light subdues me and my girlfriend.,5/24/2005,36.3019444,-88.3266667
42048,2002-05-13 21:15:00,mosinee,wi,USA,triangle,900.0,15 minutes,Low flying triangular craft seen near airport.,5/14/2002,44.7930556,-89.7030556
66656,2004-08-15 23:35:00,eldon,mo,USA,light,10.0,5-10 sec.,bright red light zig zag across sky then disappear,10/27/2004,38.3483333,-92.5813889
14674,1985-01-15 01:30:00,atlantic ocean (canada/iceland&#44 midway between),,Other,light,1800.0,30 minutes,Flashing lighted object observed by an E-3A AWACS crew over the Mid-Atlantic,2/23/2000,-14.599413,-28.673147
66576,2001-08-15 22:00:00,roswell,nm,USA,triangle,240.0,3-4 minutes,Dark Triangle&#44 silent craft &quot;floating&quot; with 3 lights on the bottom heading NNE over SW Roswell between July-Sept 2001,10/31/2003,33.3941667,-104.5225
59828,2013-07-25 21:30:00,sandy,ut,Other,sphere,300.0,5 minutes,Orange round non-helicopter,8/30/2013,40.5725,-111.859722
28508,2002-02-25 12:00:00,grass valley,ca,USA,sphere,180.0,3 mins,Watching the flight pattern from Beal Airforce Base that runs along the northeast section of the sky over Alta Sierra(a sub-division of,3/19/2002,39.2191667,-121.06
54967,2005-07-11 02:30:00,valley springs,ca,USA,light,1800.0,30 min,All I heard was the wind.  The object never made a noise.,9/2/2005,38.1916667,-120.8280556
76914,2005-09-22 19:30:00,laguna hills,ca,USA,unknown,600.0,10 minutes,Very Bright  *V* shaped light coming from aircraft. HUGE amount of Light uncomparable to a plane in the same vision of field.,10/11/2005,33.6125,-117.7119444
7115,2010-10-08 01:02:00,oak lawn,il,USA,light,120.0,2 minutes,Medium size Star Moving Very Slowing than disappear and more same thing again later on.  ((NUFORC Note:  Possible satellites.  PD)),11/21/2010,41.7108333,-87.7580556
19,1974-10-10 19:30:00,hudson,ma,USA,other,2700.0,45 minutes,Not sure of the eact month or year of this sighting but it was in the fall of 74 or 75. Was walking home around dusk and saw a bright l,8/10/1999,42.3916667,-71.5666667
44029,2008-05-23 23:45:00,roanoke,va,USA,triangle,1200.0,10 to 20 minutes,Approxiately 11:45 p.m.&#44 my wife and I were traveling 81 North to West Virginia and we noticed an object floating 100 yds away from the,6/12/2008,37.2708333,-79.9416667
57143,2007-07-15 23:30:00,cleveland,oh,USA,changing,7200.0,2 hours,Several changing shapes and colored objects traveling at fast speeds or just sitting there until they disapeared in the blink of an eye,8/7/2007,41.4994444,-81.6955556
6037,1999-10-03 20:20:00,duncanville,tx,USA,triangle,1800.0,30 minutes,Between approx. 8:20 and 8:55 pm I saw four (4) things in the sky. 1)an object that was large and triangle shape move fast and silent.,10/19/1999,32.6516667,-96.9080556
19698,2009-12-02 03:24:00,seattle,wa,USA,fireball,10.0,5-10 seconds,Bright hot object leaving trail over Seattle in early morning of December 2nd&#44 2009,12/12/2009,47.6063889,-122.3308333
63017,2013-07-05 00:00:00,fort myers,fl,USA,fireball,2400.0,40 minutes,Around 9.00 after the fire work  started 1 orange fire ball like a big start appeared&#44 and then a second one .,7/14/2013,26.6402778,-81.8725
78719,2005-09-30 23:15:00,sugar grove,il,USA,light,900.0,15 min,3 red lights - triangle shape N NE sky 45 degree angle off of horizon,5/15/2006,41.7613889,-88.4436111
61326,2008-07-03 19:00:00,atlantic,ia,USA,oval,600.0,10 min,07-03-2008 on a cloudless nite a star in sky above iowa moving in different patterns for 10 min,1/10/2009,41.4036111,-95.0136111
46933,1962-06-01 21:30:00,benton,il,USA,disk,900.0,15 min.,Saucer shaped object in daytime nearly landed next to me.  When my mother ran out to me&#44 it flew away.,10/2/1999,37.9966667,-88.92
52350,2011-06-28 17:30:00,black river falls,wi,USA,fireball,600.0,10 minutes,((HOAX??))  White and orange orb hovering over campsite&#44 followed by continued sightings by myself and friends,7/17/2011,44.2947222,-90.8513889
76251,2012-09-20 21:45:00,north wildwood,nj,USA,light,120.0,2 minutes,We saw 5 orange/reddish orbs hovering slowly above us.,9/24/2012,39.0005556,-74.7997222
64350,2009-08-10 23:56:00,troy,mt,USA,unknown,360.0,4 -6 minutes,Strange flying craft seen in the night sky over Troy&#44 Montana,8/27/2009,48.4633333,-115.8886111
28005,2001-02-22 08:00:00,ruston,la,USA,light,10800.0,2 to 3 hours,Red And Blue Lights were on it&#44 slow moving with a white light between the red and bue lights.,8/5/2001,32.5230556,-92.6377778
68916,2012-08-22 11:00:00,morristown,tn,USA,rectangle,300.0,5 minutes,5th UFO Sighting around my 50th Birthday.,9/24/2012,36.2138889,-83.295
1664,2012-10-14 02:46:00,modesto,ca,USA,diamond,120.0,2 minutes,Bright red Diamond shaped object and fog ball object,10/30/2012,37.6391667,-120.9958333
8912,2005-11-13 22:00:00,belleville,nj,USA,,10.0,10 secs,extremely loud reverberating explosion. homes and windows shook with moise. flash of bright light in concentrated area of town.  smoke,12/16/2005,40.7936111,-74.1505556
19805,2014-01-22 17:15:00,marysville,ca,USA,circle,3600.0,1 hour,Seven balls of light towards Sacramento&#44 California.,1/24/2014,39.1458333,-121.5902778
1934,1997-10-15 17:30:00,daggett,ca,USA,rectangle,8.0,6-8 seconds.,One very fast&#44 very low flying rectangular object changes direction&#44 stops&#44 then seperates into three equally fast smaller objects.,10/8/2007,34.8633333,-116.8872222
72506,2012-08-08 22:00:00,ponteix (canada),sk,Canada,light,120.0,1-2 minutes,Extremely high speed vanishing bright light,8/19/2012,49.75,-107.483333
79223,2011-09-04 21:02:00,tucson,az,USA,triangle,300.0,5 minutes,2 pulsating orb like lights hovering&#44 ascending straight up&#44 then across and saw its triangular shape and lights,10/10/2011,32.2216667,-110.9258333
59941,2007-07-26 20:30:00,toronto (canada),on,Canada,diamond,30.0,30 seconds,woman in canada spots an unidentified object&quot;not from this earth&quot;,8/7/2007,43.666667,-79.416667
30701,2007-03-01 17:30:00,boyes hot springs,ca,USA,formation,10.0,10 seconds,rectanglar outline made up of dark dots.,3/8/2007,38.3138889,-122.4808333
75498,2002-09-18 08:00:00,steele,mo,USA,disk,300.0,5 minutes,Between 0745 and 0800 hrs going southbound on I-55 through the Missouri Bootheel the skies were partly cloudy (25% clouds) that an unid,12/23/2002,36.0838889,-89.8291667
28070,2008-02-22 13:00:00,stevens pass,wa,Other,circle,30.0,30 seconds,Pinkish circular ball over horizon of Cowboy Mountain&#44 after 30 seconds it disappeared without moving.,3/4/2008,47.746222,-121.085933
14648,1969-11-05 01:00:00,buford,ga,USA,disk,20.0,20 sec,I was travelling home with two friends on Buford Hwy &#44Leaving A small town named Flowery Branch after a birth day party &#44Heading back h,11/3/2005,34.1205556,-84.0044444
53190,2010-06-30 23:30:00,dodaira mount (japan),,Other,sphere,420.0,5 to 7 minutes,Very big moon-like size sphere,4/18/2012,36.005893,139.190225
743,2004-10-01 22:20:00,sebastian inlet (north of),fl,Other,other,3.0,2 to 3 seconds,Posibly crashing hexagon shaped object with very bright green lights at it&#39s points.One of the points seemed to emit another greenlight,10/27/2004,27.860302,-80.447274
26426,2005-02-14 11:16:00,friday harbor,wa,USA,circle,3.0,3 seconds,I saw a round object in a controlled fall from the sky&#44 the  object  went behind some clouds and did not reappear in it&#39s fall.,2/22/2005,48.5344444,-123.0158333
38106,2002-04-21 04:00:00,manchester (uk/england),,Britain,light,600.0,10 mins,We went outside to watch the conjuction of the planets.we did not see the conjuction as it is only visable at dusk.I focused on a fixed,4/25/2002,53.5,-2.216667
29855,1999-02-08 20:00:00,guelph (canada),on,Canada,triangle,30.0,~30 seconds,Craft had 3 bright circular white lights and flew WSW (against final approach pattern to Pearson International Airport) at roughly 2500,12/2/2000,43.55,-80.25
32599,2012-03-20 20:25:00,woodbury,mn,USA,fireball,300.0,5 minutes total,4 separate fiery looking balls traveling at a high rate of speed from the NW sky toward the SE sky.,5/13/2012,44.9238889,-92.9591667
